gene_id,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_25000,30,0.00048400367842795606,0.0004838865864280391,99.9636997241179,40.0,3.713572066704308,3
PA14_25080,70,0.0010164077246987077,0.0010158915321124388,99.91529935627511,84.0,4.442651256490317,3
PA14_25090,51,0.0010043076327380088,0.001003803653232838,99.93828953100044,83.0,4.430816798843313,6
PA14_25110,41,0.000605004598034945,0.0006048216565363696,99.95038962296114,50.0,3.9318256327243257,5
PA14_25250,178,0.002952422438410532,0.00294807259888915,99.78461836309957,244.0,5.501258210544727,11
PA14_25270,42,0.000617104689995644,0.0006169143591950977,99.94917961376505,51.0,3.9512437185814275,5
PA14_25320,11,0.00022990174725327913,0.0002298753238963571,99.98668989884322,19.0,2.995732273553991,3
PA14_25350,37,0.0005929045060742462,0.0005927288076424157,99.95522965974541,49.0,3.912023005428146,3
PA14_25390,35,0.0005808044141135473,0.0005806358125096988,99.95764967813756,48.0,3.8918202981106265,4
PA14_25560,71,0.0012826097478340836,0.0012817879066107803,99.91408934707904,106.0,4.672828834461906,10
PA14_25600,12,0.0001573011954890857,0.00015728882495328426,99.98547988964717,13.0,2.639057329615259,3
PA14_25620,66,0.0012463094719519867,0.0012455334729916984,99.92013939305939,103.0,4.6443908991413725,6
PA14_25640,23,0.0003146023909781714,0.0003145529140227405,99.97216978849039,26.0,3.295836866004329,5
PA14_25650,23,0.00039930303470306377,0.00039922333446196185,99.97216978849039,33.0,3.5263605246161616,4
PA14_25660,45,0.0008470064372489231,0.0008466479297210594,99.94554958617685,70.0,4.2626798770413155,7
PA14_25670,59,0.0009075068970524176,0.0009070953616303211,99.92860945743188,75.0,4.330733340286331,6
PA14_25690,47,0.0007865059774454286,0.0007861968436988902,99.94312956778472,65.0,4.189654742026425,4
PA14_25800,36,0.0005808044141135473,0.0005806358125096988,99.95643966894148,48.0,3.8918202981106265,3
PA14_25860,190,0.0032912250133101013,0.003285820786703344,99.77009825274672,272.0,5.60947179518496,10
PA14_25880,93,0.0015609118629301582,0.001559694906218431,99.88746914476549,129.0,4.867534450455582,5
PA14_25900,74,0.0011979091041091911,0.001197192183478387,99.91045931949083,99.0,4.605170185988092,5
PA14_27000,59,0.0011737089201877935,0.0011730206623633865,99.92860945743188,97.0,4.584967478670572,4
PA14_27210,93,0.0016214123227336528,0.0016200992529335856,99.88746914476549,134.0,4.90527477843843,7
PA14_27550,12,0.00022990174725327913,0.0002298753238963571,99.98547988964717,19.0,2.995732273553991,3
PA14_27770,14,0.00021780165529258023,0.00021777793995548676,99.98305987125502,18.0,2.9444389791664403,3
PA14_27780,73,0.0011374086443056968,0.0011367622851635162,99.9116693286869,94.0,4.553876891600541,3
PA14_27920,43,0.0006292047819563428,0.0006290069156221365,99.947969604569,52.0,3.970291913552122,3
PA14_28400,274,0.004573834761144185,0.004563406564740813,99.66845748027686,378.0,5.937536205082426,13
PA14_28430,41,0.0007623057935240308,0.0007620153860394443,99.95038962296114,63.0,4.1588830833596715,3
PA14_28650,74,0.00121000919606989,0.0012092777249410054,99.91045931949083,100.0,4.61512051684126,7
PA14_28660,193,0.0031460239097817143,0.0031410855313547936,99.7664682251585,260.0,5.564520407322694,28
PA14_28670,49,0.0007986060694061275,0.0007982873532535627,99.94070954939257,66.0,4.204692619390966,5
PA14_28680,269,0.0042471322782053145,0.004238138667621263,99.6745075262572,351.0,5.863631175598097,18
PA14_28710,64,0.0011011083684236,0.001100502593246059,99.92255941145153,91.0,4.5217885770490405,9
PA14_28720,39,0.0005929045060742462,0.0005927288076424157,99.95280964135328,49.0,3.912023005428146,3
PA14_28840,13,0.0001936014713711824,0.00019358273302479915,99.9842698804511,16.0,2.833213344056216,3
PA14_29130,47,0.0007744058854847296,0.0007741061879620291,99.94312956778472,64.0,4.174387269895637,3
PA14_29770,5,0.00012100091960698902,0.00012099359958619635,99.99394995401964,10.0,2.3978952727983707,3
PA14_29800,133,0.0020328154493974154,0.002030752075903587,99.8390687769227,168.0,5.1298987149230735,5
PA14_29860,51,0.0008470064372489231,0.0008466479297210594,99.93828953100044,70.0,4.2626798770413155,11
PA14_29880,113,0.001972314989593921,0.001970372530060187,99.8632689608441,163.0,5.099866427824199,8
PA14_29900,21,0.0003146023909781714,0.0003145529140227405,99.97458980688253,26.0,3.295836866004329,3
PA14_29930,61,0.0010285078166594067,0.00102797926487699,99.92618943903973,85.0,4.454347296253507,6
PA14_29970,31,0.00043560331058516046,0.0004355084630060108,99.96248971492183,36.0,3.6109179126442243,4
PA14_29990,195,0.0033033251052708,0.0032978811124528885,99.76404820676638,273.0,5.6131281063880705,17
PA14_30050,80,0.001222109288030589,0.0012213631203450766,99.90319926431441,101.0,4.624972813284271,3
PA14_30090,6,7.26005517641934e-05,7.259791647168353e-05,99.99273994482358,6.0,1.9459101490553132,4
PA14_30110,33,0.0006292047819563428,0.0006290069156221365,99.9600696965297,52.0,3.970291913552122,5
PA14_30180,224,0.004005130438991336,0.003997131255476807,99.72895794008035,331.0,5.805134968916488,17
PA14_30190,74,0.0010769081845022023,0.0010763287348553442,99.91045931949083,89.0,4.499809670330265,10
PA14_30230,49,0.0009317070809738154,0.0009312733113413635,99.94070954939257,77.0,4.356708826689592,5
PA14_30290,39,0.0007139054256812352,0.0007136507164211659,99.95280964135328,59.0,4.0943445622221,8
PA14_32420,15,0.00020570156333188133,0.00020568040966614776,99.98184986205895,17.0,2.8903717578961645,3
PA14_32790,69,0.0011858090121484924,0.0011851064959536909,99.91650936547117,98.0,4.59511985013459,4
PA14_33310,46,0.0007502057015633318,0.0007499244379276008,99.9443395769808,62.0,4.143134726391533,4
PA14_33330,67,0.001222109288030589,0.0012213631203450766,99.91892938386331,101.0,4.624972813284271,3
PA14_35460,12,0.00021780165529258023,0.00021777793995548676,99.98547988964717,18.0,2.9444389791664403,3
PA14_35800,30,0.0005566042301921495,0.0005564493835138286,99.9636997241179,46.0,3.8501476017100584,3
PA14_35820,35,0.0005566042301921495,0.0005564493835138286,99.95764967813756,46.0,3.8501476017100584,4
PA14_35850,88,0.0016940128744978463,0.001692579653057125,99.89351919074585,140.0,4.948759890378168,7
PA14_36020,53,0.0008470064372489231,0.0008466479297210594,99.9358695126083,70.0,4.2626798770413155,3
PA14_37070,27,0.00047190358646725716,0.0004717922749872778,99.96732975170612,39.0,3.6888794541139363,3
PA14_39130,40,0.0005082038623493539,0.0005080747705012992,99.95159963215721,42.0,3.7612001156935624,3
PA14_39410,787,0.010696481293257828,0.010639678637247716,99.04772276269298,884.0,6.785587645007929,20
PA14_40980,122,0.0018755142539083297,0.0018737576730354058,99.85237887807948,155.0,5.049856007249537,3
