gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_05530,PA14_05530,670,0.007777966197501554,0.007747873756355671,99.24255271041773,688.0,6.535241271013659,575
PA14_05540,PA14_05540,121,0.0014470634786049404,0.0014460174912012426,99.86320728053812,128.0,4.859812404361672,104
PA14_05550,PA14_05550,281,0.003233282460007914,0.0032280666420592234,99.68232434571252,286.0,5.659482215759621,242
PA14_05560,PA14_05560,344,0.004510768187213837,0.004500625162844138,99.61110169012493,399.0,5.991464547107982,293
PA14_05580,PA14_05580,1769,0.020496297552427788,0.020289075189086684,98.00011305183428,1813.0,7.503289630675082,1467
PA14_05590,PA14_05590,19,0.00021479848510542083,0.00021477541921377231,99.97852015148946,19.0,2.995732273553991,18
PA14_05600,PA14_05600,667,0.008365835735684812,0.008331036082653743,99.2459442654457,740.0,6.608000625296087,566
PA14_05620,PA14_05620,756,0.009620711096037533,0.009574726754499722,99.14532813294896,851.0,6.747586526829315,643
PA14_05660,PA14_05660,9,0.00010174665083940987,0.00010174147500001126,99.98982533491606,9.0,2.302585092994046,9
PA14_05850,PA14_05850,108,0.0012322649934995195,0.0012315063781385646,99.87790401899271,109.0,4.700480365792417,99
PA14_05860,PA14_05860,26,0.0002939347690916285,0.0002938915787306133,99.97060652309084,26.0,3.295836866004329,20
PA14_05870,PA14_05870,1212,0.015284607992764683,0.015168975151782445,98.62981176869596,1352.0,7.210079628170788,1061
PA14_05880,PA14_05880,8,9.044146741280877e-05,9.043737782987161e-05,99.99095585325873,8.0,2.1972245773362196,4
PA14_06000,PA14_06000,508,0.006466564920015828,0.006445746390467164,99.42569668192867,572.0,6.35088571671474,418
PA14_06010,PA14_06010,964,0.011203436775761686,0.011141143114887685,98.91018031767565,991.0,6.899723107284872,830
PA14_06060,PA14_06060,13,0.00014696738454581426,0.00014695658589777388,99.98530326154543,13.0,2.639057329615259,12
PA14_06260,PA14_06260,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_06290,PA14_06290,40,0.0004522073370640439,0.00045210512213992806,99.9547792662936,40.0,3.713572066704308,30
PA14_06400,PA14_06400,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,4
PA14_06480,PA14_06480,5,5.6525917133005484e-05,5.652431960355255e-05,99.9943474082867,5.0,1.791759469228055,5
PA14_06540,PA14_06540,209,0.002464529986999039,0.002461498013541869,99.76372166638404,218.0,5.389071729816501,194
PA14_06600,PA14_06600,16,0.00020349330167881974,0.00020347259972533063,99.98191170651744,18.0,2.9444389791664403,14
PA14_06650,PA14_06650,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_06670,PA14_06670,7,7.913628398620767e-05,7.913315287567465e-05,99.99208637160137,7.0,2.0794415416798357,6
PA14_06720,PA14_06720,8,9.044146741280877e-05,9.043737782987161e-05,99.99095585325873,8.0,2.1972245773362196,4
PA14_06750,PA14_06750,528,0.006308292352043412,0.006288478360486761,99.40308631507546,558.0,6.326149473155099,452
PA14_06870,PA14_06870,2833,0.03445819908428014,0.03387781050866621,96.7972415352439,3048.0,8.022568946988255,2353
PA14_06890,PA14_06890,562,0.0067718048725340565,0.006748979191348647,99.36464869142502,599.0,6.396929655216146,485
